letterboxd_id;letterboxd_shorttitle;letterboxd_longtitle;letterboxd_slug;tmdb_id;release_year;duration;avg_rating;letterboxd_url;tmdb_url;imdb_url
505000;Last Night in Soho;Last Night in Soho (2021);last-night-in-soho;576845;2021;116;3.41;https://letterboxd.com/film/last-night-in-soho/;https://www.themoviedb.org/movie/576845/;http://www.imdb.com/title/tt9639470/maindetails
639559;Spencer;Spencer (2021);spencer-2021;716612;2021;117;3.66;https://letterboxd.com/film/spencer-2021/;https://www.themoviedb.org/movie/716612/;http://www.imdb.com/title/tt12536294/maindetails
371378;Dune;Dune (2021);dune-2021;438631;2021;155;3.89;https://letterboxd.com/film/dune-2021/;https://www.themoviedb.org/movie/438631/;http://www.imdb.com/title/tt1160419/maindetails
604459;The Rescue;The Rescue (2021);the-rescue-2021;680058;2021;107;4.1;https://letterboxd.com/film/the-rescue-2021/;https://www.themoviedb.org/movie/680058/;http://www.imdb.com/title/tt9098872/maindetails
544757;The Electrical Life of Louis Wain;The Electrical Life of Louis Wain (2021);the-electrical-life-of-louis-wain;617762;2021;111;3.61;https://letterboxd.com/film/the-electrical-life-of-louis-wain/;https://www.themoviedb.org/movie/617762/;http://www.imdb.com/title/tt10687506/maindetails
781364;Turning Point: 9/11 and the War on Terror;Turning Point: 9/11 and the War on Terror (2021);turning-point-9-11-and-the-war-on-terror;131651;2021;300;3.84;https://letterboxd.com/film/turning-point-9-11-and-the-war-on-terror/;https://www.themoviedb.org/tv/131651/;http://www.imdb.com/title/tt15260794/maindetails
479814;Free Guy;Free Guy (2021);free-guy;550988;2021;115;3.04;https://letterboxd.com/film/free-guy/;https://www.themoviedb.org/movie/550988/;http://www.imdb.com/title/tt6264654/maindetails
764954;Shiny_Flakes: The Teenage Drug Lord;Shiny_Flakes: The Teenage Drug Lord (2021);shiny_flakes-the-teenage-drug-lord;850329;2021;96;3.4;https://letterboxd.com/film/shiny_flakes-the-teenage-drug-lord/;https://www.themoviedb.org/movie/850329/;http://www.imdb.com/title/tt15036416/maindetails
488399;The Green Knight;The Green Knight (2021);the-green-knight;559907;2021;130;3.69;https://letterboxd.com/film/the-green-knight/;https://www.themoviedb.org/movie/559907/;http://www.imdb.com/title/tt9243804/maindetails
556553;Titane;Titane (2021);titane;630240;2021;108;3.61;https://letterboxd.com/film/titane/;https://www.themoviedb.org/movie/630240/;http://www.imdb.com/title/tt10944760/maindetails
561763;Pig;Pig (2021);pig-2021;635731;2021;92;3.76;https://letterboxd.com/film/pig-2021/;https://www.themoviedb.org/movie/635731/;http://www.imdb.com/title/tt11003218/maindetails
758796;Elize Matsunaga: Once Upon a Crime;Elize Matsunaga: Once Upon a Crime (2021);elize-matsunaga-once-upon-a-crime;127617;2021;200;3.15;https://letterboxd.com/film/elize-matsunaga-once-upon-a-crime/;https://www.themoviedb.org/tv/127617/;http://www.imdb.com/title/tt14856998/maindetails
314883;Space Jam: A New Legacy;Space Jam: A New Legacy (2021);space-jam-a-new-legacy;379686;2021;115;1.85;https://letterboxd.com/film/space-jam-a-new-legacy/;https://www.themoviedb.org/movie/379686/;http://www.imdb.com/title/tt3554046/maindetails
739775;Bo Burnham: Inside;Bo Burnham: Inside (2021);bo-burnham-inside;823754;2021;87;4.2;https://letterboxd.com/film/bo-burnham-inside/;https://www.themoviedb.org/movie/823754/;http://www.imdb.com/title/tt14544192/maindetails
320000;F9;F9 (2021);f9;385128;2021;143;2.36;https://letterboxd.com/film/f9/;https://www.themoviedb.org/movie/385128/;http://www.imdb.com/title/tt5433138/maindetails
563643;Wrath of Man;Wrath of Man (2021);wrath-of-man;637649;2021;118;3.21;https://letterboxd.com/film/wrath-of-man/;https://www.themoviedb.org/movie/637649/;http://www.imdb.com/title/tt11083552/maindetails
431888;The Mitchells vs. the Machines;The Mitchells vs. the Machines (2021);the-mitchells-vs-the-machines;501929;2021;110;3.87;https://letterboxd.com/film/the-mitchells-vs-the-machines/;https://www.themoviedb.org/movie/501929/;http://www.imdb.com/title/tt7979580/maindetails
333825;Godzilla vs. Kong;Godzilla vs. Kong (2021);godzilla-vs-kong;399566;2021;114;2.79;https://letterboxd.com/film/godzilla-vs-kong/;https://www.themoviedb.org/movie/399566/;http://www.imdb.com/title/tt5034838/maindetails
718615;Seaspiracy;Seaspiracy (2021);seaspiracy;801058;2021;89;3.53;https://letterboxd.com/film/seaspiracy/;https://www.themoviedb.org/movie/801058/;http://www.imdb.com/title/tt14152756/maindetails
709530;Zack Snyder's Justice League;Zack Snyder's Justice League (2021);zack-snyders-justice-league;791373;2021;242;3.4;https://letterboxd.com/film/zack-snyders-justice-league/;https://www.themoviedb.org/movie/791373/;http://www.imdb.com/title/tt12361974/maindetails
711767;Sentinelle;Sentinelle (2021);sentinelle;793723;2021;80;2.33;https://letterboxd.com/film/sentinelle/;https://www.themoviedb.org/movie/793723/;http://www.imdb.com/title/tt11734264/maindetails
580204;Billie Eilish: The World's a Little Blurry;Billie Eilish: The World's a Little Blurry (2021);billie-eilish-the-worlds-a-little-blurry;654754;2021;140;4.02;https://letterboxd.com/film/billie-eilish-the-worlds-a-little-blurry/;https://www.themoviedb.org/movie/654754/;http://www.imdb.com/title/tt11459366/maindetails
696621;Night Stalker: The Hunt for a Serial Killer;Night Stalker: The Hunt for a Serial Killer (2021);night-stalker-the-hunt-for-a-serial-killer;114705;2021;192;3.55;https://letterboxd.com/film/night-stalker-the-hunt-for-a-serial-killer/;https://www.themoviedb.org/tv/114705/;http://www.imdb.com/title/tt13651632/maindetails
686367;Puparia;Puparia (2020);puparia;766423;2020;3;4.19;https://letterboxd.com/film/puparia/;https://www.themoviedb.org/movie/766423/;http://www.imdb.com/title/tt13680598/maindetails
542464;Holidate;Holidate (2020);holidate;615665;2020;104;2.57;https://letterboxd.com/film/holidate/;https://www.themoviedb.org/movie/615665/;http://www.imdb.com/title/tt9866072/maindetails
668077;The Queen's Gambit;The Queen's Gambit (2020);the-queens-gambit;87739;2020;393;4.23;https://letterboxd.com/film/the-queens-gambit/;https://www.themoviedb.org/tv/87739/;http://www.imdb.com/title/tt10048342/maindetails
673877;The Three Deaths of Marisela Escobedo;The Three Deaths of Marisela Escobedo (2020);the-three-deaths-of-marisela-escobedo;753230;2020;109;4.16;https://letterboxd.com/film/the-three-deaths-of-marisela-escobedo/;https://www.themoviedb.org/movie/753230/;http://www.imdb.com/title/tt13206564/maindetails
475032;Run;Run (2020);run-2020;546121;2020;90;3.16;https://letterboxd.com/film/run-2020/;https://www.themoviedb.org/movie/546121/;http://www.imdb.com/title/tt8633478/maindetails
665136;American Murder: The Family Next Door;American Murder: The Family Next Door (2020);american-murder-the-family-next-door;743601;2020;83;3.29;https://letterboxd.com/film/american-murder-the-family-next-door/;https://www.themoviedb.org/movie/743601/;http://www.imdb.com/title/tt12987894/maindetails
597648;Have a Good Trip: Adventures in Psychedelics;Have a Good Trip: Adventures in Psychedelics (2020);have-a-good-trip-adventures-in-psychedelics;673175;2020;85;3.24;https://letterboxd.com/film/have-a-good-trip-adventures-in-psychedelics/;https://www.themoviedb.org/movie/673175/;http://www.imdb.com/title/tt12133722/maindetails
474471;Extraction;Extraction (2020);extraction-2020;545609;2020;116;3.1;https://letterboxd.com/film/extraction-2020/;https://www.themoviedb.org/movie/545609/;http://www.imdb.com/title/tt8936646/maindetails
589093;Shiva Baby;Shiva Baby (2020);shiva-baby-2020;664300;2020;78;3.84;https://letterboxd.com/film/shiva-baby-2020/;https://www.themoviedb.org/movie/664300/;http://www.imdb.com/title/tt11317142/maindetails
