name;link;character_name;film_id;film_title
Sean McDonagh;/actor/sean-mcdonagh/;Celtic Announcer;48018;Speed Racer
Vinzenz Kiefer;/actor/vinzenz-kiefer/;Crew Chief/Sempre Fi-Ber Driver;48018;Speed Racer
Mark Zak;/actor/mark-zak-1/;Blackjack Benelli;48018;Speed Racer
Willy;/actor/willy-1/;Chim Chim;48018;Speed Racer
Kenzie;/actor/kenzie/;Chim Chim;48018;Speed Racer
Julia Joyce;/actor/julia-joyce/;Blonde Pack Leader;48018;Speed Racer
Clayton Nemrow;/actor/clayton-nemrow/;Race Announcer;48018;Speed Racer
Ricky Watson;/actor/ricky-watson/;Race Commentator;48018;Speed Racer
Brandon Robinson;/actor/brandon-robinson/;Big Mouth;48018;Speed Racer
L. Trey Wilson;/actor/l-trey-wilson/;Press Man;48018;Speed Racer
Lauren Blake;/actor/lauren-blake/;Flight Attendant;48018;Speed Racer
Waldemar Kobus;/actor/waldemar-kobus/;Vinny - Cruncher Thug;48018;Speed Racer
Max Hopp;/actor/max-hopp/;Cruncher Thug;48018;Speed Racer
Julie T. Wallace;/actor/julie-t-wallace/;Truck Driver;48018;Speed Racer
Matthias Redlhammer;/actor/matthias-redlhammer/;Marvin the Cleaning Man;48018;Speed Racer
Eckehard Hoffmann;/actor/eckehard-hoffmann/;Joel Goldman;48018;Speed Racer
Art LaFleur;/actor/art-lafleur/;Fuji Announcer;48018;Speed Racer
Peter Navy Tuiasosopo;/actor/peter-navy-tuiasosopo/;Fuji Announcer;48018;Speed Racer
Paul Sirr;/actor/paul-sirr/;Dour Face;48018;Speed Racer
Kadý Taylor;/actor/kady-taylor/;Queen of Casa Cristo;48018;Speed Racer
Junior Sone Enang;/actor/junior-sone-enang/;Shark Driver;48018;Speed Racer
Jana Pallaske;/actor/jana-pallaske/;Delila;48018;Speed Racer
Dari Maximova;/actor/dari-maximova/;Flying Fox;48018;Speed Racer
Werner Daehn;/actor/werner-daehn/;Sempre Fi-Ber Leader;48018;Speed Racer
Komi Togbonou;/actor/komi-togbonou/;Thor-Azine Leader;48018;Speed Racer
Leila Rozario;/actor/leila-rozario/;Hydro-Cell Driver;48018;Speed Racer
Steven Wilson;/actor/steven-wilson-2/;C.I.B. Security Man;48018;Speed Racer
Togo Igawa;/actor/togo-igawa/;Mr. Togokahn;48018;Speed Racer
Jonathan Kinsler;/actor/jonathan-kinsler/;Fuji Reporter;48018;Speed Racer
Anatole Taubman;/actor/anatole-taubman/;Fuji Reporter;48018;Speed Racer
Frank Witter;/actor/frank-witter/;Security Official;48018;Speed Racer
Megan Gay;/actor/megan-gay/;Senior Race Official;48018;Speed Racer
Corinne Orr;/actor/corinne-orr/;Grand Prix Female Announcer;48018;Speed Racer
Joe Mazza;/actor/joe-mazza/;Nitro;48018;Speed Racer
Ludmilla Ismailow;/actor/ludmilla-ismailow/;Denise;48018;Speed Racer
Milka Duno;/actor/milka-duno/;Gearbox;48018;Speed Racer
Amira Osman;/actor/amira-osman/;Count Down Tower Woman;48018;Speed Racer
Ashley Walters;/actor/ashley-walters/;Prince Kabala;48018;Speed Racer
Jens Neuhaus;/actor/jens-neuhaus/;German Announcer;48018;Speed Racer
Sesede Terziyan;/actor/sesede-terziyan/;Turkish Announcer;48018;Speed Racer
Ill-Young Kim;/actor/ill-young-kim/;Korean Announcer;48018;Speed Racer
Yuriri Naka;/actor/yuriri-naka/;Japanese Announcer;48018;Speed Racer
Oscar Ortega Sánchez;/actor/oscar-ortega-sanchez/;Spanish Announcer;48018;Speed Racer
Fang Yu;/actor/fang-yu/;Chinese Announcer;48018;Speed Racer
Narges Rashidi;/actor/narges-rashidi/;Persian Announcer;48018;Speed Racer
Andrés Cantor;/actor/andres-cantor/;Grand Prix Announcer;48018;Speed Racer
Roddy Piper;/actor/roddy-piper/;John Nada;47798;They Live
Keith David;/actor/keith-david/;Frank Armitage;47798;They Live
Meg Foster;/actor/meg-foster/;Holly Thompsen;47798;They Live
George Buck Flower;/actor/george-buck-flower/;Drifter;47798;They Live
Peter Jason;/actor/peter-jason/;Gilbert;47798;They Live
Raymond St. Jacques;/actor/raymond-st-jacques/;Street Preacher;47798;They Live
Jason Robards III;/actor/jason-robards-iii/;Family Man;47798;They Live
John Lawrence;/actor/john-lawrence-2/;Bearded Man;47798;They Live
Susan Barnes;/actor/susan-barnes/;Brown Haired Woman;47798;They Live
Sy Richardson;/actor/sy-richardson-1/;Black Revolutionary;47798;They Live
Wendy Brainard;/actor/wendy-brainard/;Family Man's Daughter;47798;They Live
Lucille Meredith;/actor/lucille-meredith/;Female Interviewer;47798;They Live
Susan Blanchard;/actor/susan-blanchard/;Ingenue;47798;They Live
Norman Alden;/actor/norman-alden/;Foreman;47798;They Live
Dana Bratton;/actor/dana-bratton/;Black Junkie;47798;They Live
John F. Goff;/actor/john-f-goff/;Well Dressed Customer;47798;They Live
Norman D. Wilson;/actor/norman-d-wilson/;Vendor;47798;They Live
Thelma Lee;/actor/thelma-lee/;Rich Lady;47798;They Live
Stratton Leopold;/actor/stratton-leopold/;Depressed Human;47798;They Live
Rezza Shan;/actor/rezza-shan/;Arab Clerk;47798;They Live
Norman Howell;/actor/norman-howell/;Blonde Haired Cop;47798;They Live
Larry Franco;/actor/larry-franco/;Neighbor;47798;They Live
Tom Searle;/actor/tom-searle/;Biker;47798;They Live
Robert Grasmere;/actor/robert-grasmere/;Scruffy Blonde Man;47798;They Live
Vince Inneo;/actor/vince-inneo/;Passageway Guard;47798;They Live
Bob Hudson;/actor/bob-hudson-1/;Passageway Guard #2;47798;They Live
Jon Paul Jones;/actor/jon-paul-jones/;Manager;47798;They Live
Dennis Michael;/actor/dennis-michael/;Male News Anchor;47798;They Live
Nancy Gee;/actor/nancy-gee/;Female News Anchor;47798;They Live
Claudia Stanlee;/actor/claudia-stanlee/;Young Female Executive;47798;They Live
Christine Anne Baur;/actor/christine-anne-baur/;Woman on Phone;47798;They Live
Eileen Wesson;/actor/eileen-wesson/;Pregnant Secretary;47798;They Live
