letterboxd_id;letterboxd_shorttitle;letterboxd_longtitle;letterboxd_slug;letterboxd_url;imdb_url;tmdb_url;tmdb_id;release_year;duration;avg_rating
48823;The Fugitive;The Fugitive (1993);the-fugitive-1993;https://letterboxd.com/film/the-fugitive-1993/;http://www.imdb.com/title/tt0106977/maindetails;https://www.themoviedb.org/movie/5503;5503;1993;131;3.92
488751;Monkey Man;Monkey Man (2024);monkey-man;https://letterboxd.com/film/monkey-man/;http://www.imdb.com/title/tt9214772/maindetails;https://www.themoviedb.org/movie/560016;560016;2024;122;3.72
27730;Blade;Blade (1998);blade;https://letterboxd.com/film/blade/;http://www.imdb.com/title/tt0120611/maindetails;https://www.themoviedb.org/movie/36647;36647;1998;121;3.50
43569;Repo Man;Repo Man (1984);repo-man;https://letterboxd.com/film/repo-man/;http://www.imdb.com/title/tt0087995/maindetails;https://www.themoviedb.org/movie/13820;13820;1984;92;3.74
50851;Re-Animator;Re-Animator (1985);re-animator;https://letterboxd.com/film/re-animator/;http://www.imdb.com/title/tt0089885/maindetails;https://www.themoviedb.org/movie/1694;1694;1985;86;3.76
223818;Dude Bro Party Massacre III;Dude Bro Party Massacre III (2015);dude-bro-party-massacre-iii;https://letterboxd.com/film/dude-bro-party-massacre-iii/;http://www.imdb.com/title/tt3699692/maindetails;https://www.themoviedb.org/movie/296503;296503;2015;101;3.36
47171;The Fly;The Fly (1986);the-fly-1986;https://letterboxd.com/film/the-fly-1986/;http://www.imdb.com/title/tt0091064/maindetails;https://www.themoviedb.org/movie/9426;9426;1986;96;4.00
890105;Humanist Vampire Seeking Consenting Suicidal Person;Humanist Vampire Seeking Consenting Suicidal Person (2023);humanist-vampire-seeking-consenting-suicidal-person;https://letterboxd.com/film/humanist-vampire-seeking-consenting-suicidal-person/;http://www.imdb.com/title/tt24216998/maindetails;https://www.themoviedb.org/movie/988402;988402;2023;91;3.89
51471;Nosferatu;Nosferatu (1922);nosferatu;https://letterboxd.com/film/nosferatu/;http://www.imdb.com/title/tt0013442/maindetails;https://www.themoviedb.org/movie/653;653;1922;89;3.82
45489;Fallen Angels;Fallen Angels (1995);fallen-angels;https://letterboxd.com/film/fallen-angels/;http://www.imdb.com/title/tt0112913/maindetails;https://www.themoviedb.org/movie/11220;11220;1995;98;4.17
