film_id;film_title;value
51869;The Wizard;Adventure
51869;The Wizard;Family
51869;The Wizard;Drama
51869;The Wizard;Comedy
51869;The Wizard;Underdogs and coming of age
51869;The Wizard;Teen friendship and coming-of-age
51869;The Wizard;Emotional and touching family dramas
51869;The Wizard;Kids' animated fun and adventure
565852;The Northman;Fantasy
565852;The Northman;Adventure
565852;The Northman;Action
565852;The Northman;Epic history and literature
565852;The Northman;Epic heroes
565852;The Northman;Humanity and the world around us
565852;The Northman;Fantasy adventure, heroism, and swordplay
565852;The Northman;Captivating vision and Shakespearean drama
565852;The Northman;Historical battles and epic heroism
565852;The Northman;Epic adventure and breathtaking battles
565852;The Northman;Bloody vampire horror
43552;Rad;Drama
43552;Rad;Family
43552;Rad;Underdogs and coming of age
43552;Rad;Adrenaline-fueled action and fast cars
353117;Get Out;Horror
353117;Get Out;Mystery
353117;Get Out;Thriller
353117;Get Out;Horror, the undead and monster classics
353117;Get Out;Intense violence and sexual transgression
353117;Get Out;Twisted dark psychological thriller
353117;Get Out;Terrifying, haunted, and supernatural horror
353117;Get Out;Creepy, chilling, and terrifying horror
353117;Get Out;Gory, gruesome, and slasher horror
353117;Get Out;Racism and the powerful fight for justice
508037;RRR;Action
508037;RRR;Drama
508037;RRR;Epic heroes
508037;RRR;Bollywood emotional dramas
508037;RRR;Historical battles and epic heroism
508037;RRR;Superheroes in action-packed battles with villains
508037;RRR;Epic adventure and breathtaking battles
508037;RRR;Emotional and captivating fantasy storytelling
48018;Speed Racer;Adventure
48018;Speed Racer;Action
48018;Speed Racer;Family
48018;Speed Racer;Comedy
48018;Speed Racer;Epic heroes
48018;Speed Racer;High speed and special ops
48018;Speed Racer;Adrenaline-fueled action and fast cars
48018;Speed Racer;Superheroes in action-packed battles with villains
47798;They Live;Action
47798;They Live;Science Fiction
47798;They Live;Monsters, aliens, sci-fi and the apocalypse
47798;They Live;Thought-provoking sci-fi action and future technology
47798;They Live;Action comedy and silly heroics
47798;They Live;Superheroes in action-packed battles with villains
47798;They Live;Action-packed space and alien sagas
47798;They Live;Imaginative space odysseys and alien encounters
46759;Cobra;Action
46759;Cobra;Thriller
46759;Cobra;Crime
46759;Cobra;Crime, drugs and gangsters
46759;Cobra;High speed and special ops
46759;Cobra;Thrillers and murder mysteries
46759;Cobra;Epic heroes
46759;Cobra;Violent action, guns, and crime
46759;Cobra;Adrenaline-fueled action and fast cars
46759;Cobra;Explosive and action-packed heroes vs. villains
46759;Cobra;Gritty crime and ruthless gangsters
46759;Cobra;Heists and thrilling action
474474;Everything Everywhere All at Once;Science Fiction
