key;value;link;film_id;film_title
studio;Access Entertainment;/studio/access-entertainment/;922858;MaXXXine
country;USA;/films/country/usa/;922858;MaXXXine
language;English;/films/language/english/;922858;MaXXXine
studio;Warner Bros. Pictures;/studio/warner-bros-pictures/;48823;The Fugitive
country;USA;/films/country/usa/;48823;The Fugitive
language;English;/films/language/english/;48823;The Fugitive
studio;Thunder Road;/studio/thunder-road-1/;488751;Monkey Man
studio;Bron Studios;/studio/bron-studios/;488751;Monkey Man
studio;Monkeypaw Productions;/studio/monkeypaw-productions/;488751;Monkey Man
studio;Minor Realm;/studio/minor-realm/;488751;Monkey Man
studio;Creative Wealth Media Finance;/studio/creative-wealth-media-finance/;488751;Monkey Man
studio;S'YA Concept;/studio/sya-concept-1/;488751;Monkey Man
country;Canada;/films/country/canada/;488751;Monkey Man
country;Singapore;/films/country/singapore/;488751;Monkey Man
country;USA;/films/country/usa/;488751;Monkey Man
language;English;/films/language/english/;488751;Monkey Man
language;English;/films/language/english/;488751;Monkey Man
language;Hindi;/films/language/hindi/;488751;Monkey Man
studio;New Line Cinema;/studio/new-line-cinema/;27730;Blade
studio;Amen Ra Films;/studio/amen-ra-films/;27730;Blade
studio;Imaginary Forces;/studio/imaginary-forces/;27730;Blade
country;USA;/films/country/usa/;27730;Blade
language;English;/films/language/english/;27730;Blade
language;Russian;/films/language/russian/;27730;Blade
language;English;/films/language/english/;27730;Blade
studio;Edge City Productions;/studio/edge-city-productions/;43569;Repo Man
country;USA;/films/country/usa/;43569;Repo Man
language;English;/films/language/english/;43569;Repo Man
language;English;/films/language/english/;43569;Repo Man
language;Spanish;/films/language/spanish/;43569;Repo Man
studio;Empire Pictures;/studio/empire-pictures/;50851;Re-Animator
country;USA;/films/country/usa/;50851;Re-Animator
language;English;/films/language/english/;50851;Re-Animator
studio;Snoot Entertainment;/studio/snoot-entertainment/;223818;Dude Bro Party Massacre III
studio;5-Second Films;/studio/5-second-films/;223818;Dude Bro Party Massacre III
country;USA;/films/country/usa/;223818;Dude Bro Party Massacre III
language;English;/films/language/english/;223818;Dude Bro Party Massacre III
language;French;/films/language/french/;223818;Dude Bro Party Massacre III
language;English;/films/language/english/;223818;Dude Bro Party Massacre III
studio;SLM Production Group;/studio/slm-production-group/;47171;The Fly
studio;Brooksfilms;/studio/brooksfilms/;47171;The Fly
country;Canada;/films/country/canada/;47171;The Fly
country;USA;/films/country/usa/;47171;The Fly
language;English;/films/language/english/;47171;The Fly
studio;Art et essai;/studio/art-et-essai/;890105;Humanist Vampire Seeking Consenting Suicidal Person
country;Canada;/films/country/canada/;890105;Humanist Vampire Seeking Consenting Suicidal Person
language;French;/films/language/french/;890105;Humanist Vampire Seeking Consenting Suicidal Person
studio;Prana-Film;/studio/prana-film-gmbh/;51471;Nosferatu
country;Germany;/films/country/germany/;51471;Nosferatu
language;No spoken language;/films/language/no-spoken-language/;51471;Nosferatu
studio;Jet Tone Production;/studio/jet-tone-production/;45489;Fallen Angels
country;Hong Kong;/films/country/hong-kong/;45489;Fallen Angels
language;Cantonese;/films/language/cantonese/;45489;Fallen Angels
language;Cantonese;/films/language/cantonese/;45489;Fallen Angels
language;Chinese;/films/language/chinese/;45489;Fallen Angels
language;English;/films/language/english/;45489;Fallen Angels
language;Japanese;/films/language/japanese/;45489;Fallen Angels
studio;Hawk Films;/studio/hawk-films/;51218;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
studio;Columbia Pictures;/studio/columbia-pictures/;51218;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
country;UK;/films/country/uk/;51218;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
country;USA;/films/country/usa/;51218;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
